Gmt time,Open,High,Low,Close,Volume
03.01.2022 00:00:00.000,1.13732,1.13759,1.13612,1.13622,1265.59
03.01.2022 01:00:00.000,1.13623,1.13655,1.13502,1.13588,1784.04
03.01.2022 02:00:00.000,1.13587,1.13588,1.13426,1.13429,1452.4399
03.01.2022 03:00:00.000,1.13430,1.13503,1.13415,1.13484,1057.16
03.01.2022 04:00:00.000,1.13485,1.13493,1.13388,1.13407,600.82
03.01.2022 05:00:00.000,1.13408,1.13415,1.13363,1.13380,732.14
03.01.2022 06:00:00.000,1.13382,1.13465,1.13381,1.13433,1131.64
03.01.2022 07:00:00.000,1.13433,1.13504,1.13352,1.13483,2355.7
03.01.2022 08:00:00.000,1.13483,1.13483,1.13356,1.13469,4101.1699
03.01.2022 09:00:00.000,1.13466,1.13566,1.13359,1.13519,3643.4299
03.01.2022 10:00:00.000,1.13518,1.13600,1.13508,1.13555,3898.03
03.01.2022 11:00:00.000,1.13556,1.13665,1.13519,1.13559,5074.5801
03.01.2022 12:00:00.000,1.13558,1.13597,1.13467,1.13588,4352.75
03.01.2022 13:00:00.000,1.13591,1.13644,1.13461,1.13510,7476.1401
03.01.2022 14:00:00.000,1.13510,1.13521,1.13004,1.13065,12394.2695
03.01.2022 15:00:00.000,1.13067,1.13097,1.12905,1.12920,18155.4492
03.01.2022 16:00:00.000,1.12920,1.12990,1.12832,1.12891,9329.3896
03.01.2022 17:00:00.000,1.12890,1.12902,1.12800,1.12841,5760.54
03.01.2022 18:00:00.000,1.12842,1.12972,1.12835,1.12950,3453.3601
03.01.2022 19:00:00.000,1.12949,1.12999,1.12939,1.12977,3011
03.01.2022 20:00:00.000,1.12976,1.13007,1.12940,1.12966,3092.925
03.01.2022 21:00:00.000,1.12968,1.12996,1.12949,1.12990,633.365
03.01.2022 22:00:00.000,1.12989,1.13010,1.12950,1.12964,2478.6599
03.01.2022 23:00:00.000,1.12964,1.13026,1.12957,1.13023,1137.9
04.01.2022 00:00:00.000,1.13023,1.13071,1.13017,1.13060,1682.8199
04.01.2022 01:00:00.000,1.13059,1.13090,1.13016,1.13069,1844.17
04.01.2022 02:00:00.000,1.13068,1.13096,1.13000,1.13024,1041.89
04.01.2022 03:00:00.000,1.13023,1.13045,1.12957,1.12980,3240.4199
04.01.2022 04:00:00.000,1.12979,1.13060,1.12966,1.13009,3146.23
04.01.2022 05:00:00.000,1.13010,1.13061,1.13009,1.13051,2758.6899
04.01.2022 06:00:00.000,1.13052,1.13074,1.12922,1.12935,3787.27
04.01.2022 07:00:00.000,1.12934,1.12947,1.12836,1.12918,6953.9399
04.01.2022 08:00:00.000,1.12919,1.13006,1.12875,1.12898,5952.9102
04.01.2022 09:00:00.000,1.12897,1.13085,1.12833,1.13022,4698.5698
04.01.2022 10:00:00.000,1.13023,1.13058,1.12946,1.12948,3500.6201
04.01.2022 11:00:00.000,1.12950,1.12966,1.12761,1.12763,4767.8101
04.01.2022 12:00:00.000,1.12765,1.12836,1.12724,1.12732,4278.0601
04.01.2022 13:00:00.000,1.12732,1.12901,1.12732,1.12802,4794.3501
04.01.2022 14:00:00.000,1.12802,1.12884,1.12776,1.12852,5090.4399
04.01.2022 15:00:00.000,1.12856,1.13226,1.12838,1.13093,7825.8198
04.01.2022 16:00:00.000,1.13093,1.13157,1.12858,1.12948,7243.9502
04.01.2022 17:00:00.000,1.12947,1.12963,1.12886,1.12939,2653.76
04.01.2022 18:00:00.000,1.12942,1.12944,1.12796,1.12804,2042.65
04.01.2022 19:00:00.000,1.12803,1.12931,1.12782,1.12880,2064.8101
04.01.2022 20:00:00.000,1.12879,1.12897,1.12811,1.12849,2259.9951
04.01.2022 21:00:00.000,1.12849,1.12886,1.12816,1.12879,1333.24
04.01.2022 22:00:00.000,1.12879,1.12899,1.12849,1.12877,842.56
04.01.2022 23:00:00.000,1.12876,1.12889,1.12821,1.12832,683.62
05.01.2022 00:00:00.000,1.12830,1.12860,1.12773,1.12775,1104.1
05.01.2022 01:00:00.000,1.12776,1.12889,1.12776,1.12860,2014
05.01.2022 02:00:00.000,1.12859,1.12945,1.12853,1.12923,2143.71
05.01.2022 03:00:00.000,1.12924,1.12970,1.12914,1.12960,1088.52
05.01.2022 04:00:00.000,1.12959,1.12959,1.12887,1.12891,1594.35
05.01.2022 05:00:00.000,1.12890,1.12949,1.12875,1.12941,1315.87
05.01.2022 06:00:00.000,1.12940,1.13014,1.12931,1.12960,1402.1899
05.01.2022 07:00:00.000,1.12959,1.13029,1.12949,1.12989,2569.1399
05.01.2022 08:00:00.000,1.12990,1.13112,1.12967,1.13031,3445.7
05.01.2022 09:00:00.000,1.13030,1.13088,1.13001,1.13064,3604.5901
05.01.2022 10:00:00.000,1.13064,1.13142,1.13046,1.13084,4566.0801
05.01.2022 11:00:00.000,1.13083,1.13240,1.13068,1.13192,4613.3701
05.01.2022 12:00:00.000,1.13194,1.13264,1.13050,1.13080,5255.1699
05.01.2022 13:00:00.000,1.13081,1.13290,1.13034,1.13241,9495.8496
05.01.2022 14:00:00.000,1.13241,1.13389,1.13213,1.13359,6255.27
05.01.2022 15:00:00.000,1.13359,1.13443,1.13327,1.13372,5409.8501
05.01.2022 16:00:00.000,1.13371,1.13398,1.13230,1.13342,3764.77
05.01.2022 17:00:00.000,1.13342,1.13466,1.13335,1.13415,3058.6101
