Gmt time,Open,High,Low,Close,Volume
01.06.2018 00:00:00.000,1.16926,1.17182,1.16172,1.16602,265120.3125
03.06.2018 00:00:00.000,1.16644,1.16699,1.16605,1.16678,6549.0698
04.06.2018 00:00:00.000,1.16675,1.17447,1.16673,1.17005,240440.8438
05.06.2018 00:00:00.000,1.17005,1.17327,1.16528,1.17264,260201.125
06.06.2018 00:00:00.000,1.17264,1.17960,1.17141,1.17816,260680.4531
07.06.2018 00:00:00.000,1.17813,1.18401,1.17813,1.17934,250919.4531
08.06.2018 00:00:00.000,1.17933,1.18105,1.17274,1.17708,227996.2031
10.06.2018 00:00:00.000,1.17761,1.17860,1.17715,1.17849,7543.5
11.06.2018 00:00:00.000,1.17848,1.18207,1.17716,1.17728,208384.5938
12.06.2018 00:00:00.000,1.17729,1.18093,1.17338,1.17480,239822.7031
13.06.2018 00:00:00.000,1.17480,1.18050,1.17258,1.18035,239731.0938
14.06.2018 00:00:00.000,1.18036,1.18521,1.15611,1.15634,292842.375
15.06.2018 00:00:00.000,1.15631,1.16272,1.15436,1.16103,248240.2031
17.06.2018 00:00:00.000,1.15906,1.16030,1.15884,1.15933,9089.8203
18.06.2018 00:00:00.000,1.15933,1.16415,1.15657,1.16301,219386.4063
19.06.2018 00:00:00.000,1.16300,1.16448,1.15309,1.15883,279841.875
20.06.2018 00:00:00.000,1.15883,1.16000,1.15371,1.15779,247282.4375
21.06.2018 00:00:00.000,1.15778,1.16338,1.15085,1.16045,288911.7188
22.06.2018 00:00:00.000,1.16045,1.16750,1.16009,1.16590,250697.375
24.06.2018 00:00:00.000,1.16648,1.16730,1.16604,1.16604,14128.3203
25.06.2018 00:00:00.000,1.16607,1.17133,1.16290,1.17013,255819.4375
26.06.2018 00:00:00.000,1.17012,1.17205,1.16351,1.16498,283394.0938
27.06.2018 00:00:00.000,1.16498,1.16722,1.15410,1.15632,304107.875
28.06.2018 00:00:00.000,1.15632,1.16006,1.15275,1.15638,290169.5938
29.06.2018 00:00:00.000,1.15637,1.16906,1.15636,1.16858,289929
01.07.2018 00:00:00.000,1.16804,1.16938,1.16639,1.16790,16735.9199
02.07.2018 00:00:00.000,1.16782,1.16792,1.15915,1.16419,241338.3594
03.07.2018 00:00:00.000,1.16415,1.16732,1.16208,1.16593,257145.375
04.07.2018 00:00:00.000,1.16591,1.16820,1.16308,1.16607,191175.875
05.07.2018 00:00:00.000,1.16607,1.17203,1.16501,1.16921,263604.0625
06.07.2018 00:00:00.000,1.16921,1.17679,1.16803,1.17464,232141.7188
08.07.2018 00:00:00.000,1.17432,1.17548,1.17432,1.17521,12232.8203
09.07.2018 00:00:00.000,1.17516,1.17908,1.17330,1.17564,240438.3594
10.07.2018 00:00:00.000,1.17562,1.17628,1.16906,1.17283,241527.5781
11.07.2018 00:00:00.000,1.17283,1.17583,1.16657,1.16754,279801.4063
12.07.2018 00:00:00.000,1.16754,1.16957,1.16500,1.16644,241600.7344
13.07.2018 00:00:00.000,1.16644,1.16885,1.16133,1.16885,232020.8125
15.07.2018 00:00:00.000,1.16912,1.16943,1.16774,1.16787,8668.9004
16.07.2018 00:00:00.000,1.16787,1.17256,1.16759,1.17094,234957.1875
17.07.2018 00:00:00.000,1.17094,1.17449,1.16489,1.16534,268401.4063
18.07.2018 00:00:00.000,1.16537,1.16651,1.16022,1.16453,262116.2031
19.07.2018 00:00:00.000,1.16451,1.16789,1.15751,1.16548,314520.6563
20.07.2018 00:00:00.000,1.16549,1.17392,1.16266,1.17205,303662.7813
22.07.2018 00:00:00.000,1.17285,1.17458,1.17239,1.17407,13564.2197
23.07.2018 00:00:00.000,1.17407,1.17499,1.16839,1.16939,242800.5313
24.07.2018 00:00:00.000,1.16938,1.17171,1.16549,1.16848,251522.0313
25.07.2018 00:00:00.000,1.16848,1.17390,1.16642,1.17384,264603.125
26.07.2018 00:00:00.000,1.17383,1.17439,1.16382,1.16441,259909.5938
27.07.2018 00:00:00.000,1.16438,1.16646,1.16208,1.16585,222756.6563
29.07.2018 00:00:00.000,1.16604,1.16609,1.16563,1.16596,6492.9902
30.07.2018 00:00:00.000,1.16595,1.17190,1.16482,1.17076,195524.2188
31.07.2018 00:00:00.000,1.17077,1.17461,1.16841,1.16894,231596.9063
01.08.2018 00:00:00.000,1.16894,1.16998,1.16575,1.16635,258679.875
02.08.2018 00:00:00.000,1.16635,1.16678,1.15820,1.15853,240121.1563
03.08.2018 00:00:00.000,1.15854,1.16107,1.15605,1.15691,232033.6875
05.08.2018 00:00:00.000,1.15731,1.15732,1.15606,1.15617,9013
06.08.2018 00:00:00.000,1.15616,1.15706,1.15302,1.15584,216280.6563
07.08.2018 00:00:00.000,1.15583,1.16084,1.15518,1.16033,208616.875
08.08.2018 00:00:00.000,1.16033,1.16285,1.15734,1.16095,201341.1406
09.08.2018 00:00:00.000,1.16095,1.16194,1.15166,1.15242,236015.5
10.08.2018 00:00:00.000,1.15242,1.15366,1.13883,1.14130,294155.7813
12.08.2018 00:00:00.000,1.13731,1.14118,1.13727,1.13950,13380.3701
13.08.2018 00:00:00.000,1.13949,1.14330,1.13652,1.14009,275507.4063
14.08.2018 00:00:00.000,1.14008,1.14296,1.13304,1.13470,263991.8438
15.08.2018 00:00:00.000,1.13470,1.13551,1.13012,1.13419,253138.3281
16.08.2018 00:00:00.000,1.13419,1.14093,1.13361,1.13721,251177.2969
17.08.2018 00:00:00.000,1.13721,1.14450,1.13667,1.14396,212886.2031
19.08.2018 00:00:00.000,1.14419,1.14419,1.14357,1.14381,7754.1899
20.08.2018 00:00:00.000,1.14382,1.14934,1.13947,1.14921,218500.0156
21.08.2018 00:00:00.000,1.14919,1.16015,1.14859,1.15762,256942.7188
22.08.2018 00:00:00.000,1.15762,1.16231,1.15534,1.15862,230830.6563
23.08.2018 00:00:00.000,1.15861,1.15909,1.15301,1.15423,231280.6875
24.08.2018 00:00:00.000,1.15421,1.16400,1.15383,1.16223,228247.7656
26.08.2018 00:00:00.000,1.16189,1.16536,1.16182,1.16453,8675.0498
27.08.2018 00:00:00.000,1.16453,1.16938,1.15948,1.16844,202379.4063
28.08.2018 00:00:00.000,1.16844,1.17337,1.16628,1.16936,230813.2656
29.08.2018 00:00:00.000,1.16935,1.17107,1.16523,1.17097,235591.9688
30.08.2018 00:00:00.000,1.17097,1.17185,1.16419,1.16656,237717.9688
31.08.2018 00:00:00.000,1.16656,1.16904,1.15848,1.16054,239321.0938
02.09.2018 00:00:00.000,1.15989,1.16048,1.15929,1.15984,7368.46
03.09.2018 00:00:00.000,1.15982,1.16280,1.15892,1.16144,167184.125
04.09.2018 00:00:00.000,1.16143,1.16144,1.15304,1.15874,219819.6563
05.09.2018 00:00:00.000,1.15874,1.16401,1.15430,1.16347,257820.375
06.09.2018 00:00:00.000,1.16347,1.16595,1.16057,1.16201,235651.8594
07.09.2018 00:00:00.000,1.16202,1.16496,1.15509,1.15545,236069.8281
09.09.2018 00:00:00.000,1.15506,1.15611,1.15481,1.15608,6841.7798
10.09.2018 00:00:00.000,1.15608,1.16165,1.15262,1.15938,191802.75
11.09.2018 00:00:00.000,1.15938,1.16443,1.15657,1.15960,212981.1875
12.09.2018 00:00:00.000,1.15956,1.16499,1.15704,1.16258,228314.9844
13.09.2018 00:00:00.000,1.16256,1.17012,1.16093,1.16914,226436.8906
14.09.2018 00:00:00.000,1.16915,1.17218,1.16209,1.16246,202525.4844
16.09.2018 00:00:00.000,1.16271,1.16340,1.16222,1.16237,6933.0298
17.09.2018 00:00:00.000,1.16237,1.16983,1.16182,1.16690,188956.625
18.09.2018 00:00:00.000,1.16688,1.17245,1.16524,1.16779,230896.4688
19.09.2018 00:00:00.000,1.16780,1.17151,1.16503,1.16743,228790.7344
20.09.2018 00:00:00.000,1.16739,1.17847,1.16722,1.17758,247607.9063
21.09.2018 00:00:00.000,1.17758,1.18030,1.17329,1.17523,205755.7813
23.09.2018 00:00:00.000,1.17504,1.17532,1.17419,1.17489,7341.3101
24.09.2018 00:00:00.000,1.17485,1.18154,1.17244,1.17529,205406
25.09.2018 00:00:00.000,1.17529,1.17928,1.17312,1.17631,209077.5313
26.09.2018 00:00:00.000,1.17631,1.17981,1.17260,1.17473,308295.3438
27.09.2018 00:00:00.000,1.17473,1.17573,1.16333,1.16363,242057.5938
28.09.2018 00:00:00.000,1.16363,1.16514,1.15699,1.16053,233111.7344
30.09.2018 00:00:00.000,1.16207,1.16207,1.16031,1.16055,10926.9199
01.10.2018 00:00:00.000,1.16055,1.16249,1.15638,1.15774,206561.125
02.10.2018 00:00:00.000,1.15774,1.15803,1.15054,1.15507,244471.8281
03.10.2018 00:00:00.000,1.15507,1.15940,1.14647,1.14766,256295.7813
04.10.2018 00:00:00.000,1.14767,1.15428,1.14635,1.15178,234956.6875
05.10.2018 00:00:00.000,1.15176,1.15500,1.14842,1.15243,228647.8125
07.10.2018 00:00:00.000,1.15248,1.15289,1.15202,1.15241,7846.8901
08.10.2018 00:00:00.000,1.15241,1.15299,1.14602,1.14944,185645.3438
09.10.2018 00:00:00.000,1.14943,1.15090,1.14324,1.15051,263271.1563
10.10.2018 00:00:00.000,1.15049,1.15454,1.14801,1.15335,244674.6719
11.10.2018 00:00:00.000,1.15333,1.15996,1.15314,1.15903,296904.625
12.10.2018 00:00:00.000,1.15901,1.16107,1.15345,1.15626,228386.4063
14.10.2018 00:00:00.000,1.15448,1.15538,1.15435,1.15506,9787.9404
15.10.2018 00:00:00.000,1.15506,1.16063,1.15433,1.15832,240588.9063
16.10.2018 00:00:00.000,1.15830,1.16215,1.15662,1.15766,218541
17.10.2018 00:00:00.000,1.15767,1.15808,1.14958,1.15015,258515.6563
18.10.2018 00:00:00.000,1.15015,1.15275,1.14494,1.14542,254121.9688
19.10.2018 00:00:00.000,1.14543,1.15349,1.14332,1.15156,245465.5938
21.10.2018 00:00:00.000,1.15177,1.15182,1.15088,1.15109,8441.8096
22.10.2018 00:00:00.000,1.15109,1.15502,1.14560,1.14647,226391.5156
23.10.2018 00:00:00.000,1.14647,1.14936,1.14395,1.14711,257694.7969
24.10.2018 00:00:00.000,1.14711,1.14767,1.13792,1.13991,263498.0313
25.10.2018 00:00:00.000,1.13991,1.14329,1.13563,1.13757,252711.7969
26.10.2018 00:00:00.000,1.13757,1.14212,1.13359,1.14044,265238.125
28.10.2018 00:00:00.000,1.13944,1.14043,1.13940,1.13983,8074.6899
29.10.2018 00:00:00.000,1.13984,1.14168,1.13609,1.13760,257340.8281
30.10.2018 00:00:00.000,1.13760,1.13880,1.13406,1.13457,226853.1875
31.10.2018 00:00:00.000,1.13454,1.13602,1.13024,1.13148,252156.25
01.11.2018 00:00:00.000,1.13148,1.14244,1.13130,1.14032,242090.7344
02.11.2018 00:00:00.000,1.14032,1.14561,1.13725,1.13881,236396.875
04.11.2018 00:00:00.000,1.13886,1.13998,1.13880,1.13978,10332.9199
05.11.2018 00:00:00.000,1.13979,1.14241,1.13534,1.14087,221000.875
06.11.2018 00:00:00.000,1.14087,1.14421,1.13917,1.14416,223145.2656
07.11.2018 00:00:00.000,1.14415,1.14998,1.13950,1.14329,301569.8125
08.11.2018 00:00:00.000,1.14330,1.14467,1.13519,1.13683,253139.2656
09.11.2018 00:00:00.000,1.13683,1.13692,1.13164,1.13374,233834.4375
11.11.2018 00:00:00.000,1.13255,1.13315,1.13151,1.13240,11693.8701
12.11.2018 00:00:00.000,1.13242,1.13308,1.12158,1.12239,235386.5625
13.11.2018 00:00:00.000,1.12239,1.13216,1.12221,1.13116,293925.5938
14.11.2018 00:00:00.000,1.13116,1.13479,1.12634,1.13124,294858.75
15.11.2018 00:00:00.000,1.13125,1.13626,1.12709,1.13248,301709.5313
16.11.2018 00:00:00.000,1.13248,1.14208,1.13220,1.14198,250664.1719
18.11.2018 00:00:00.000,1.14151,1.14215,1.14066,1.14140,10852.9297
19.11.2018 00:00:00.000,1.14139,1.14646,1.13942,1.14543,215333.125
20.11.2018 00:00:00.000,1.14544,1.14725,1.13589,1.13725,243658.9844
21.11.2018 00:00:00.000,1.13725,1.14249,1.13658,1.13891,237219.7031
22.11.2018 00:00:00.000,1.13891,1.14342,1.13857,1.14031,171258.5625
23.11.2018 00:00:00.000,1.14031,1.14213,1.13280,1.13420,309152.5313
25.11.2018 00:00:00.000,1.13420,1.13427,1.13311,1.13379,8705.6699
26.11.2018 00:00:00.000,1.13380,1.13839,1.13251,1.13334,225346
27.11.2018 00:00:00.000,1.13335,1.13440,1.12776,1.12974,270933.625
28.11.2018 00:00:00.000,1.12975,1.13878,1.12674,1.13677,262112.75
29.11.2018 00:00:00.000,1.13676,1.14019,1.13490,1.13929,271028.3438
30.11.2018 00:00:00.000,1.13930,1.14006,1.13057,1.13229,259346.0625
02.12.2018 00:00:00.000,1.13541,1.13541,1.13284,1.13425,11483.54
03.12.2018 00:00:00.000,1.13423,1.13799,1.13196,1.13546,233948.4531
04.12.2018 00:00:00.000,1.13545,1.14189,1.13189,1.13429,285537.8438
05.12.2018 00:00:00.000,1.13429,1.13614,1.13113,1.13493,198398.875
06.12.2018 00:00:00.000,1.13493,1.14127,1.13212,1.13763,284906.75
07.12.2018 00:00:00.000,1.13764,1.14238,1.13606,1.13826,241395.0156
09.12.2018 00:00:00.000,1.13938,1.14070,1.13919,1.14000,10502.6201
10.12.2018 00:00:00.000,1.14000,1.14430,1.13507,1.13563,283555.2813
11.12.2018 00:00:00.000,1.13563,1.14003,1.13065,1.13222,262815.625
12.12.2018 00:00:00.000,1.13221,1.13875,1.13154,1.13731,255596.9219
13.12.2018 00:00:00.000,1.13731,1.13935,1.13313,1.13633,234346.6875
14.12.2018 00:00:00.000,1.13633,1.13653,1.12701,1.13073,225837.9688
16.12.2018 00:00:00.000,1.13048,1.13097,1.13014,1.13046,10364.1201
17.12.2018 00:00:00.000,1.13046,1.13579,1.13032,1.13497,219422.2031
18.12.2018 00:00:00.000,1.13498,1.14025,1.13369,1.13761,246677.5781
19.12.2018 00:00:00.000,1.13761,1.14395,1.13646,1.13871,398860.2188
20.12.2018 00:00:00.000,1.13871,1.14861,1.13774,1.14569,507582.5
21.12.2018 00:00:00.000,1.14569,1.14743,1.13563,1.13718,450596.7188
23.12.2018 00:00:00.000,1.13738,1.13759,1.13626,1.13727,10815.96
24.12.2018 00:00:00.000,1.13728,1.14389,1.13709,1.14043,351524.9688
25.12.2018 00:00:00.000,1.14027,1.14213,1.13967,1.14137,17998.2891
26.12.2018 00:00:00.000,1.14137,1.14168,1.13432,1.13608,257512.375
27.12.2018 00:00:00.000,1.13608,1.14544,1.13585,1.14308,546644
28.12.2018 00:00:00.000,1.14308,1.14730,1.14303,1.14450,432706.7813
